"","age_class","Total","var","date"
"349","65-74","3963","death_cumul_conf","2020-05-17"
"350","75+","7731","death_cumul_conf","2020-05-17"
"351","0-17","0","death_cumul_comb","2020-03-09"
"352","18-44","0","death_cumul_comb","2020-03-09"
"353","45-64","0","death_cumul_comb","2020-03-09"
"354","65-74","0","death_cumul_comb","2020-03-09"
"355","75+","0","death_cumul_comb","2020-03-09"
"356","0-17","0","death_cumul_comb","2020-03-10"
"357","18-44","0","death_cumul_comb","2020-03-10"
"358","45-64","0","death_cumul_comb","2020-03-10"
"359","65-74","0","death_cumul_comb","2020-03-10"
"360","75+","0","death_cumul_comb","2020-03-10"
"361","0-17","0","death_cumul_comb","2020-03-11"
"362","18-44","0","death_cumul_comb","2020-03-11"
"363","45-64","0","death_cumul_comb","2020-03-11"
"364","65-74","0","death_cumul_comb","2020-03-11"
"365","75+","0","death_cumul_comb","2020-03-11"
"366","0-17","0","death_cumul_comb","2020-03-12"
"367","18-44","0","death_cumul_comb","2020-03-12"
"368","45-64","0","death_cumul_comb","2020-03-12"
"369","65-74","0","death_cumul_comb","2020-03-12"
"370","75+","0","death_cumul_comb","2020-03-12"
"371","0-17","0","death_cumul_comb","2020-03-13"
"372","18-44","0","death_cumul_comb","2020-03-13"
"373","45-64","0","death_cumul_comb","2020-03-13"
"374","65-74","0","death_cumul_comb","2020-03-13"
"375","75+","0","death_cumul_comb","2020-03-13"
"376","0-17","0","death_cumul_comb","2020-03-14"
"377","18-44","0","death_cumul_comb","2020-03-14"
"378","45-64","0","death_cumul_comb","2020-03-14"
"379","65-74","0","death_cumul_comb","2020-03-14"
"380","75+","0","death_cumul_comb","2020-03-14"
"381","0-17","0","death_cumul_comb","2020-03-15"
"382","18-44","0","death_cumul_comb","2020-03-15"
"383","45-64","0","death_cumul_comb","2020-03-15"
"384","65-74","0","death_cumul_comb","2020-03-15"
"385","75+","1","death_cumul_comb","2020-03-15"
"386","0-17","0","death_cumul_comb","2020-03-16"
"387","18-44","0","death_cumul_comb","2020-03-16"
"388","45-64","1","death_cumul_comb","2020-03-16"
"389","65-74","1","death_cumul_comb","2020-03-16"
"390","75+","2","death_cumul_comb","2020-03-16"
"391","0-17","0","death_cumul_comb","2020-03-17"
"392","18-44","0","death_cumul_comb","2020-03-17"
"393","45-64","2","death_cumul_comb","2020-03-17"
"394","65-74","2","death_cumul_comb","2020-03-17"
"395","75+","4","death_cumul_comb","2020-03-17"
"396","0-17","0","death_cumul_comb","2020-03-18"
"397","18-44","0","death_cumul_comb","2020-03-18"
"398","45-64","4","death_cumul_comb","2020-03-18"
"399","65-74","4","death_cumul_comb","2020-03-18"
"400","75+","8","death_cumul_comb","2020-03-18"
"401","0-17","0","death_cumul_comb","2020-03-19"
"402","18-44","0","death_cumul_comb","2020-03-19"
"403","45-64","6","death_cumul_comb","2020-03-19"
"404","65-74","6","death_cumul_comb","2020-03-19"
"405","75+","12","death_cumul_comb","2020-03-19"
"406","0-17","0","death_cumul_comb","2020-03-20"
"407","18-44","1","death_cumul_comb","2020-03-20"
"408","45-64","10","death_cumul_comb","2020-03-20"
"409","65-74","10","death_cumul_comb","2020-03-20"
"410","75+","19","death_cumul_comb","2020-03-20"
"411","0-17","0","death_cumul_comb","2020-03-21"
"412","18-44","2","death_cumul_comb","2020-03-21"
"413","45-64","14","death_cumul_comb","2020-03-21"
"414","65-74","14","death_cumul_comb","2020-03-21"
"415","75+","26","death_cumul_comb","2020-03-21"
"416","0-17","0","death_cumul_comb","2020-03-22"
"417","18-44","3","death_cumul_comb","2020-03-22"
"418","45-64","18","death_cumul_comb","2020-03-22"
"419","65-74","18","death_cumul_comb","2020-03-22"
"420","75+","34","death_cumul_comb","2020-03-22"
"421","0-17","0","death_cumul_comb","2020-03-23"
"422","18-44","1","death_cumul_comb","2020-03-23"
"423","45-64","23","death_cumul_comb","2020-03-23"
"424","65-74","20","death_cumul_comb","2020-03-23"
"425","75+","55","death_cumul_comb","2020-03-23"
"426","0-17","0","death_cumul_comb","2020-03-24"
"427","18-44","3","death_cumul_comb","2020-03-24"
"428","45-64","31","death_cumul_comb","2020-03-24"
"429","65-74","23","death_cumul_comb","2020-03-24"
"430","75+","68","death_cumul_comb","2020-03-24"
"431","0-17","0","death_cumul_comb","2020-03-25"
"432","18-44","5","death_cumul_comb","2020-03-25"
"433","45-64","43","death_cumul_comb","2020-03-25"
"434","65-74","44","death_cumul_comb","2020-03-25"
"435","75+","100","death_cumul_comb","2020-03-25"
"436","0-17","0","death_cumul_comb","2020-03-26"
"437","18-44","15","death_cumul_comb","2020-03-26"
"438","45-64","57","death_cumul_comb","2020-03-26"
"439","65-74","70","death_cumul_comb","2020-03-26"
"440","75+","138","death_cumul_comb","2020-03-26"
"441","0-17","0","death_cumul_comb","2020-03-27"
"442","18-44","16","death_cumul_comb","2020-03-27"
"443","45-64","77","death_cumul_comb","2020-03-27"
"444","65-74","91","death_cumul_comb","2020-03-27"
"445","75+","181","death_cumul_comb","2020-03-27"
"446","0-17","0","death_cumul_comb","2020-03-28"
"447","18-44","20","death_cumul_comb","2020-03-28"
"448","45-64","104","death_cumul_comb","2020-03-28"
"449","65-74","110","death_cumul_comb","2020-03-28"
"450","75+","216","death_cumul_comb","2020-03-28"
"451","0-17","0","death_cumul_comb","2020-03-29"
"452","18-44","32","death_cumul_comb","2020-03-29"
"453","45-64","161","death_cumul_comb","2020-03-29"
"454","65-74","158","death_cumul_comb","2020-03-29"
"455","75+","321","death_cumul_comb","2020-03-29"
"456","0-17","1","death_cumul_comb","2020-03-30"
"457","18-44","39","death_cumul_comb","2020-03-30"
"458","45-64","185","death_cumul_comb","2020-03-30"
"459","65-74","183","death_cumul_comb","2020-03-30"
